question,intent
Học phí ngành CNTT bao nhiêu,hỏi_học_phí
Học phí Công nghệ thông tin là bao nhiêu,hỏi_học_phí
Ngành CNTT học phí bao nhiêu tiền,hỏi_học_phí
Học phí ngành Kinh tế là bao nhiêu,hỏi_học_phí
Chi phí học ngành Kinh tế,hỏi_học_phí
Ngành Kinh tế học phí,hỏi_học_phí
Điểm chuẩn ngành CNTT là bao nhiêu,hỏi_điểm_chuẩn
Điểm chuẩn Công nghệ thông tin,hỏi_điểm_chuẩn
Điểm thi vào ngành CNTT,hỏi_điểm_chuẩn
Điểm chuẩn ngành Kinh tế,hỏi_điểm_chuẩn
Điểm vào ngành Kinh tế là bao nhiêu,hỏi_điểm_chuẩn
Ngành Kinh tế bao nhiêu điểm,hỏi_điểm_chuẩn
Ngành CNTT học những gì,hỏi_ngành_học
Ngành Công nghệ thông tin học gì,hỏi_ngành_học
Nội dung đào tạo ngành CNTT,hỏi_ngành_học
Ngành Kinh tế học những môn gì,hỏi_ngành_học
Chương trình đào tạo ngành Kinh tế,hỏi_ngành_học
Ngành Kinh tế ra trường làm gì,hỏi_ngành_học
Có học bổng không,hỏi_học_bổng
Điều kiện nhận học bổng,hỏi_học_bổng
Học bổng cho sinh viên,hỏi_học_bổng
Làm sao để nhận học bổng,hỏi_học_bổng
Mức học bổng bao nhiêu,hỏi_học_bổng
